date,portfolio_value,daily_pnl,buy_amount,sell_amount,positions_value
20210104,1000000.0,0.0,0.0,0.0,0.0
20210105,1000000.0,0.0,0.0,0.0,0.0
20210106,1000000.0,0.0,0.0,0.0,0.0
20210107,1000000.0,0.0,0.0,0.0,0.0
20210108,1000000.0,0.0,0.0,0.0,0.0
20210111,1000000.0,0.0,0.0,0.0,0.0
20210112,1000000.0,0.0,0.0,0.0,0.0
20210113,1000000.0,0.0,0.0,0.0,0.0
20210114,1000000.0,0.0,0.0,0.0,0.0
20210115,1000000.0,0.0,0.0,0.0,0.0
20210118,1000000.0,0.0,0.0,0.0,0.0
20210119,1000000.0,0.0,0.0,0.0,0.0
20210120,1000000.0,0.0,0.0,0.0,0.0
20210121,1000000.0,0.0,0.0,0.0,0.0
20210122,1000000.0,0.0,0.0,0.0,0.0
20210125,1000000.0,0.0,0.0,0.0,0.0
20210126,1000000.0,0.0,0.0,0.0,0.0
20210127,1000000.0,0.0,0.0,0.0,0.0
20210128,1000000.0,0.0,0.0,0.0,0.0
20210129,1000000.0,0.0,0.0,0.0,0.0
20210201,1000000.0,0.0,0.0,0.0,0.0
20210202,1000000.0,0.0,0.0,0.0,0.0
20210203,1000000.0,0.0,0.0,0.0,0.0
20210204,1000000.0,0.0,0.0,0.0,0.0
20210205,1000000.0,0.0,0.0,0.0,0.0
20210208,1000000.0,0.0,0.0,0.0,0.0
20210209,1000000.0,0.0,0.0,0.0,0.0
20210210,1000000.0,0.0,0.0,0.0,0.0
20210218,1000000.0,0.0,0.0,0.0,0.0
20210219,1000000.0,0.0,0.0,0.0,0.0
20210222,1000000.0,0.0,0.0,0.0,0.0
20210223,1000000.0,0.0,0.0,0.0,0.0
20210224,1000000.0,0.0,0.0,0.0,0.0
20210225,1000000.0,0.0,0.0,0.0,0.0
20210226,1000000.0,0.0,0.0,0.0,0.0
20210301,1000000.0,0.0,0.0,0.0,0.0
20210302,1000000.0,0.0,0.0,0.0,0.0
20210303,1000000.0,0.0,0.0,0.0,0.0
20210304,1000000.0,0.0,0.0,0.0,0.0
20210305,1000000.0,0.0,0.0,0.0,0.0
20210308,1000000.0,0.0,0.0,0.0,0.0
20210309,1000000.0,0.0,0.0,0.0,0.0
20210310,1000000.0,0.0,0.0,0.0,0.0
20210311,1000000.0,0.0,0.0,0.0,0.0
20210312,1000000.0,0.0,0.0,0.0,0.0
20210315,1000000.0,0.0,0.0,0.0,0.0
20210316,1000000.0,0.0,0.0,0.0,0.0
20210317,1000000.0,0.0,0.0,0.0,0.0
20210318,1000000.0,0.0,0.0,0.0,0.0
20210319,1000000.0,0.0,0.0,0.0,0.0
20210322,1000000.0,0.0,0.0,0.0,0.0
20210323,1000000.0,-5.389843499986455,8005.0,0.0,8005.0
20210324,999890.6101565,-104.0,0.0,0.0,7901.000000000001
20210325,999909.6101565,19.0,0.0,0.0,7920.0
20210326,999990.6101565,81.0,0.0,0.0,8001.000000000001
20210329,999902.6101565,-88.0,0.0,0.0,7913.0
20210330,999926.6101565,24.0,0.0,0.0,7937.0
20210331,999859.6101565,-67.0,0.0,0.0,7870.0
20210401,999909.6101565,50.0,0.0,0.0,7920.0
20210402,999877.6101565,-32.0,0.0,0.0,7888.0
20210406,999892.6101565,15.0,0.0,0.0,7903.0
20210407,999834.6101565,-58.0,0.0,0.0,7845.0
20210408,999852.6101565,12.69879050005693,6185.0,0.0,14048.0
20210409,999680.3089470001,-167.0,0.0,0.0,13881.0
20210412,999535.3089470001,-145.0,0.0,0.0,13736.0
20210413,999372.3089470001,-163.0,0.0,0.0,13573.0
20210414,999506.3089470001,134.0,0.0,0.0,13707.0
20210415,999433.3089470001,-73.0,0.0,0.0,13634.0
20210416,999457.3089470001,24.0,0.0,0.0,13658.0
20210419,999505.3089470001,48.0,0.0,0.0,13706.0
20210420,999397.3089470001,-108.0,0.0,0.0,13598.0
20210421,999323.3089470001,-74.0,0.0,0.0,13524.0
20210422,999147.3089470001,-64.80000000004657,0.0,0.0,13348.0
20210423,999317.508947,59.0,0.0,0.0,13407.0
20210426,999049.508947,-268.0,0.0,0.0,13139.0
20210427,999035.508947,-14.0,0.0,0.0,13125.0
20210428,998997.508947,-38.0,0.0,0.0,13087.0
20210429,999243.508947,246.0,0.0,0.0,13333.0
20210430,999151.508947,-92.0,0.0,0.0,13241.0
20210506,998959.508947,-192.0,0.0,0.0,13049.0
20210507,998876.508947,-95.35138699994422,0.0,7009.999999999999,5956.0
20210510,998892.1575600001,28.0,0.0,0.0,5984.0
20210511,998898.1575600001,6.0,0.0,0.0,5990.0
20210512,998816.1575600001,-82.0,0.0,0.0,5908.0
20210513,998646.1575600001,-170.0,0.0,0.0,5738.0
20210514,998682.1575600001,36.0,0.0,0.0,5774.0
20210517,998737.1575600001,55.0,0.0,0.0,5829.0
20210518,998701.1575600001,-36.0,0.0,0.0,5793.0
20210519,998649.1575600001,-52.0,0.0,0.0,5741.0
20210520,998708.1575600001,59.0,0.0,0.0,5800.0
20210521,998658.1575600001,-50.0,0.0,0.0,5750.0
20210524,998588.1575600001,-70.0,0.0,0.0,5680.0
20210525,998497.1575600001,-91.0,0.0,0.0,5589.0
20210526,998527.1575600001,30.0,0.0,0.0,5619.0
20210527,998712.1575600001,185.0,0.0,0.0,5804.0
20210528,998607.1575600001,-105.0,0.0,0.0,5699.0
20210531,998538.1575600001,-69.0,0.0,0.0,5630.0
20210601,998538.1575600001,-5.274180999957025,5630.0,0.0,11260.0
20210602,998482.8833790001,-50.0,0.0,0.0,11210.0
20210603,998468.8833790001,-14.0,0.0,0.0,11196.0
20210604,998468.8833790001,0.0,0.0,0.0,11196.0
20210607,998344.8833790001,-124.0,0.0,0.0,11072.0
20210608,998318.8833790001,-26.0,0.0,0.0,11046.0
20210609,998318.8833790001,0.0,0.0,0.0,11046.0
20210610,998274.8833790001,-44.0,0.0,0.0,11002.0
20210611,998196.8833790001,-78.0,0.0,0.0,10924.0
20210615,998346.8833790001,150.0,0.0,0.0,11074.0
20210616,998308.8833790001,-38.0,0.0,0.0,11036.0
20210617,998212.8833790001,-96.0,0.0,0.0,10940.0
20210618,998008.8833790001,-204.0,0.0,0.0,10736.0
20210621,997494.8833790001,-524.3599056999665,0.0,5111.0,5111.0
20210622,997355.5234733002,-139.22462340001948,0.0,4982.0,0.0
20210623,997345.2988499001,0.0,0.0,0.0,0.0
20210624,997345.2988499001,0.0,0.0,0.0,0.0
20210625,997345.2988499001,0.0,0.0,0.0,0.0
20210628,997345.2988499001,0.0,0.0,0.0,0.0
20210629,997345.2988499001,0.0,0.0,0.0,0.0
20210630,997345.2988499001,0.0,0.0,0.0,0.0
20210701,997345.2988499001,0.0,0.0,0.0,0.0
20210702,997345.2988499001,0.0,0.0,0.0,0.0
20210705,997345.2988499001,0.0,0.0,0.0,0.0
20210706,997345.2988499001,0.0,0.0,0.0,0.0
20210707,997345.2988499001,0.0,0.0,0.0,0.0
20210708,997345.2988499001,0.0,0.0,0.0,0.0
20210709,997345.2988499001,0.0,0.0,0.0,0.0
20210712,997345.2988499001,0.0,0.0,0.0,0.0
20210713,997345.2988499001,0.0,0.0,0.0,0.0
20210714,997345.2988499001,0.0,0.0,0.0,0.0
20210715,997345.2988499001,0.0,0.0,0.0,0.0
20210716,997345.2988499001,0.0,0.0,0.0,0.0
20210719,997345.2988499001,0.0,0.0,0.0,0.0
20210720,997345.2988499001,0.0,0.0,0.0,0.0
20210721,997345.2988499001,0.0,0.0,0.0,0.0
20210722,997345.2988499001,0.0,0.0,0.0,0.0
20210723,997345.2988499001,0.0,0.0,0.0,0.0
20210726,997345.2988499001,0.0,0.0,0.0,0.0
20210727,997345.2988499001,0.0,0.0,0.0,0.0
20210728,997345.2988499001,0.0,0.0,0.0,0.0
20210729,997345.2988499001,0.0,0.0,0.0,0.0
20210730,997345.2988499001,0.0,0.0,0.0,0.0
20210802,997345.2988499001,0.0,0.0,0.0,0.0
20210803,997345.2988499001,0.0,0.0,0.0,0.0
20210804,997345.2988499001,0.0,0.0,0.0,0.0
20210805,997345.2988499001,0.0,0.0,0.0,0.0
