event_id,event_datetime,security,type,direction,window,matured_datetime,base_close,end_close,directional_return,mfe,mae
000858SZ_2021-01-08T000000_SELL_SETUP_-1_2021-01-08T000000_9,2021-01-08 00:00:00,000858.SZ,SELL_SETUP,-1,5,2021-01-15 00:00:00,294.62,265.32,0.09945014,0.13213631,0.0016971
000651SZ_2021-01-08T000000_SELL_SETUP_-1_2021-01-08T000000_9,2021-01-08 00:00:00,000651.SZ,SELL_SETUP,-1,5,2021-01-15 00:00:00,50.69,49.39,0.02564608,0.05148945,-0.02564608
000651SZ_2021-01-08T000000_BUY_COUNTDOWN_CANCEL_1_2020-12-18T000000_3,2021-01-08 00:00:00,000651.SZ,BUY_COUNTDOWN_CANCEL,1,5,2021-01-15 00:00:00,50.69,49.39,-0.02564608,0.02564608,-0.05148945
600519SS_2021-01-11T000000_SELL_SETUP_PERFECT_-1_2021-01-11T000000_9,2021-01-11 00:00:00,600519.SS,SELL_SETUP_PERFECT,-1,5,2021-01-18 00:00:00,1885.52,1848.79,0.01948004,0.0375122,-0.03903432
600519SS_2021-01-11T000000_SELL_COUNTDOWN_CANCEL_-1_2020-12-11T000000_11,2021-01-11 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,5,2021-01-18 00:00:00,1885.52,1848.79,0.01948004,0.0375122,-0.03903432
600036SS_2021-01-18T000000_SELL_SETUP_PERFECT_-1_2021-01-18T000000_9,2021-01-18 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,5,2021-01-25 00:00:00,42.43,42.62,-0.00447796,0.04289418,-0.0372378
601318SS_2021-01-28T000000_BUY_SETUP_PERFECT_1_2021-01-28T000000_9,2021-01-28 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,5,2021-02-04 00:00:00,68.9,67.6,-0.01886792,0.00754717,-0.08156749
000651SZ_2021-01-28T000000_SELL_COUNTDOWN_CANCEL_-1_2021-01-08T000000_1,2021-01-28 00:00:00,000651.SZ,SELL_COUNTDOWN_CANCEL,-1,5,2021-02-04 00:00:00,43.28,44.58,-0.03003697,0.03558226,-0.07116451
000858SZ_2021-01-08T000000_SELL_SETUP_-1_2021-01-08T000000_9,2021-01-08 00:00:00,000858.SZ,SELL_SETUP,-1,20,2021-02-05 00:00:00,294.62,297.38,-0.009368,0.14276017,-0.04412464
000651SZ_2021-01-08T000000_SELL_SETUP_-1_2021-01-08T000000_9,2021-01-08 00:00:00,000651.SZ,SELL_SETUP,-1,20,2021-02-05 00:00:00,50.69,44.93,0.11363188,0.17656342,-0.02564608
000651SZ_2021-01-08T000000_BUY_COUNTDOWN_CANCEL_1_2020-12-18T000000_3,2021-01-08 00:00:00,000651.SZ,BUY_COUNTDOWN_CANCEL,1,20,2021-02-05 00:00:00,50.69,44.93,-0.11363188,0.02564608,-0.17656342
000651SZ_2021-01-29T000000_BUY_SETUP_PERFECT_1_2021-01-29T000000_9,2021-01-29 00:00:00,000651.SZ,BUY_SETUP_PERFECT,1,5,2021-02-05 00:00:00,42.29,44.93,0.06242611,0.09624025,-0.01300544
600519SS_2021-01-11T000000_SELL_SETUP_PERFECT_-1_2021-01-11T000000_9,2021-01-11 00:00:00,600519.SS,SELL_SETUP_PERFECT,-1,20,2021-02-08 00:00:00,1885.52,2154.59,-0.14270334,0.06217383,-0.14804934
600519SS_2021-01-11T000000_SELL_COUNTDOWN_CANCEL_-1_2020-12-11T000000_11,2021-01-11 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,20,2021-02-08 00:00:00,1885.52,2154.59,-0.14270334,0.06217383,-0.14804934
600036SS_2021-01-18T000000_SELL_SETUP_PERFECT_-1_2021-01-18T000000_9,2021-01-18 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,20,2021-02-22 00:00:00,42.43,44.71,-0.05373556,0.04289418,-0.13386755
600519SS_2021-02-19T000000_SELL_SETUP_PERFECT_-1_2021-02-19T000000_9,2021-02-19 00:00:00,600519.SS,SELL_SETUP_PERFECT,-1,5,2021-02-26 00:00:00,2245.79,1908.57,0.15015652,0.17486052,0.00222639
600519SS_2021-02-19T000000_SELL_COUNTDOWN_CANCEL_-1_2021-01-11T000000_12,2021-02-19 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,5,2021-02-26 00:00:00,2245.79,1908.57,0.15015652,0.17486052,0.00222639
000858SZ_2021-02-19T000000_SELL_SETUP_PERFECT_-1_2021-02-19T000000_9,2021-02-19 00:00:00,000858.SZ,SELL_SETUP_PERFECT,-1,5,2021-02-26 00:00:00,322.02,257.62,0.19998758,0.22793615,0.00652133
000858SZ_2021-02-19T000000_SELL_COUNTDOWN_CANCEL_-1_2021-01-08T000000_12,2021-02-19 00:00:00,000858.SZ,SELL_COUNTDOWN_CANCEL,-1,5,2021-02-26 00:00:00,322.02,257.62,0.19998758,0.22793615,0.00652133
000858SZ_2021-02-25T000000_SELL_COUNTDOWN_CANCEL_-1_2021-02-19T000000_0,2021-02-25 00:00:00,000858.SZ,SELL_COUNTDOWN_CANCEL,-1,5,2021-03-04 00:00:00,266.52,243.93,0.08475912,0.08967432,-0.0261894
601318SS_2021-01-28T000000_BUY_SETUP_PERFECT_1_2021-01-28T000000_9,2021-01-28 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,20,2021-03-04 00:00:00,68.9,74.28,0.07808418,0.10682148,-0.08156749
000651SZ_2021-01-28T000000_SELL_COUNTDOWN_CANCEL_-1_2021-01-08T000000_1,2021-01-28 00:00:00,000651.SZ,SELL_COUNTDOWN_CANCEL,-1,20,2021-03-04 00:00:00,43.28,44.84,-0.03604436,0.03558226,-0.10420518
000651SZ_2021-01-29T000000_BUY_SETUP_PERFECT_1_2021-01-29T000000_9,2021-01-29 00:00:00,000651.SZ,BUY_SETUP_PERFECT,1,20,2021-03-05 00:00:00,42.29,44.12,0.04327264,0.13005439,-0.01300544
600519SS_2021-03-02T000000_SELL_COUNTDOWN_CANCEL_-1_2021-02-19T000000_0,2021-03-02 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,5,2021-03-09 00:00:00,1843.79,1722.78,0.06563112,0.08559543,-0.04977248
600519SS_2021-02-19T000000_SELL_SETUP_PERFECT_-1_2021-02-19T000000_9,2021-02-19 00:00:00,600519.SS,SELL_SETUP_PERFECT,-1,20,2021-03-19 00:00:00,2245.79,1795.79,0.20037492,0.24927531,0.00222639
600519SS_2021-02-19T000000_SELL_COUNTDOWN_CANCEL_-1_2021-01-11T000000_12,2021-02-19 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,20,2021-03-19 00:00:00,2245.79,1795.79,0.20037492,0.24927531,0.00222639
000858SZ_2021-02-19T000000_SELL_SETUP_PERFECT_-1_2021-02-19T000000_9,2021-02-19 00:00:00,000858.SZ,SELL_SETUP_PERFECT,-1,20,2021-03-19 00:00:00,322.02,238.41,0.25964226,0.35525744,0.00652133
000858SZ_2021-02-19T000000_SELL_COUNTDOWN_CANCEL_-1_2021-01-08T000000_12,2021-02-19 00:00:00,000858.SZ,SELL_COUNTDOWN_CANCEL,-1,20,2021-03-19 00:00:00,322.02,238.41,0.25964226,0.35525744,0.00652133
600036SS_2021-03-16T000000_SELL_COUNTDOWN_COMPLETE_PERFECT_-1_2021-01-18T000000_13,2021-03-16 00:00:00,600036.SS,SELL_COUNTDOWN_COMPLETE_PERFECT,-1,5,2021-03-23 00:00:00,44.83,43.99,0.01873745,0.06201205,-0.0089226
000858SZ_2021-02-25T000000_SELL_COUNTDOWN_CANCEL_-1_2021-02-19T000000_0,2021-02-25 00:00:00,000858.SZ,SELL_COUNTDOWN_CANCEL,-1,20,2021-03-25 00:00:00,266.52,233.6,0.12351793,0.22099655,-0.0261894
601318SS_2021-03-22T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2021-01-28T000000_13,2021-03-22 00:00:00,601318.SS,BUY_COUNTDOWN_COMPLETE_PERFECT,1,5,2021-03-29 00:00:00,67.8,67.11,-0.01017699,0.01150442,-0.01637168
600519SS_2021-03-02T000000_SELL_COUNTDOWN_CANCEL_-1_2021-02-19T000000_0,2021-03-02 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,20,2021-03-30 00:00:00,1843.79,1841.84,0.0010576,0.08559543,-0.04977248
000858SZ_2021-01-08T000000_SELL_SETUP_-1_2021-01-08T000000_9,2021-01-08 00:00:00,000858.SZ,SELL_SETUP,-1,60,2021-04-12 00:00:00,294.62,238.61,0.19010929,0.29529564,-0.13641301
000651SZ_2021-01-08T000000_SELL_SETUP_-1_2021-01-08T000000_9,2021-01-08 00:00:00,000651.SZ,SELL_SETUP,-1,60,2021-04-12 00:00:00,50.69,46.19,0.08877491,0.17656342,-0.02564608
000651SZ_2021-01-08T000000_BUY_COUNTDOWN_CANCEL_1_2020-12-18T000000_3,2021-01-08 00:00:00,000651.SZ,BUY_COUNTDOWN_CANCEL,1,60,2021-04-12 00:00:00,50.69,46.19,-0.08877491,0.02564608,-0.17656342
600519SS_2021-01-11T000000_SELL_SETUP_PERFECT_-1_2021-01-11T000000_9,2021-01-11 00:00:00,600519.SS,SELL_SETUP_PERFECT,-1,60,2021-04-13 00:00:00,1885.52,1806.79,0.04175506,0.10583287,-0.28010841
600519SS_2021-01-11T000000_SELL_COUNTDOWN_CANCEL_-1_2020-12-11T000000_11,2021-01-11 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,60,2021-04-13 00:00:00,1885.52,1806.79,0.04175506,0.10583287,-0.28010841
600036SS_2021-03-16T000000_SELL_COUNTDOWN_COMPLETE_PERFECT_-1_2021-01-18T000000_13,2021-03-16 00:00:00,600036.SS,SELL_COUNTDOWN_COMPLETE_PERFECT,-1,20,2021-04-14 00:00:00,44.83,40.21,0.10305599,0.11242472,-0.0089226
000651SZ_2021-04-07T000000_BUY_COUNTDOWN_COMPLETE_1_2021-01-29T000000_13,2021-04-07 00:00:00,000651.SZ,BUY_COUNTDOWN_COMPLETE,1,5,2021-04-14 00:00:00,47.67,45.91,-0.0369205,0.01048878,-0.06230334
600519SS_2021-04-08T000000_SELL_SETUP_-1_2021-04-08T000000_9,2021-04-08 00:00:00,600519.SS,SELL_SETUP,-1,5,2021-04-15 00:00:00,1855.79,1801.39,0.02931366,0.04310833,0.00862167
601318SS_2021-03-22T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2021-01-28T000000_13,2021-03-22 00:00:00,601318.SS,BUY_COUNTDOWN_COMPLETE_PERFECT,1,20,2021-04-20 00:00:00,67.8,63.98,-0.05634218,0.01150442,-0.07109145
601318SS_2021-04-13T000000_BUY_SETUP_PERFECT_1_2021-04-13T000000_9,2021-04-13 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,5,2021-04-20 00:00:00,64.54,63.98,-0.00867679,0.01425473,-0.02417106
600036SS_2021-01-18T000000_SELL_SETUP_PERFECT_-1_2021-01-18T000000_9,2021-01-18 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,60,2021-04-20 00:00:00,42.43,42.5,-0.00164978,0.08814518,-0.13386755
000651SZ_2021-04-15T000000_BUY_SETUP_1_2021-04-15T000000_9,2021-04-15 00:00:00,000651.SZ,BUY_SETUP,1,5,2021-04-22 00:00:00,46.52,45.1,-0.03052451,0.02901978,-0.03804815
