date,stock_code,name,amount,market_value,cost_basis
20210323,601318.SS,中国平安,100,8005.0,80.1
20210324,601318.SS,中国平安,100,7901.0,80.1
20210325,601318.SS,中国平安,100,7920.0,80.1
20210326,601318.SS,中国平安,100,8001.0,80.1
20210329,601318.SS,中国平安,100,7913.0,80.1
20210330,601318.SS,中国平安,100,7937.0,80.1
20210331,601318.SS,中国平安,100,7870.0,80.1
20210401,601318.SS,中国平安,100,7920.0,80.1
20210402,601318.SS,中国平安,100,7888.0,80.1
20210406,601318.SS,中国平安,100,7903.0,80.1
20210407,601318.SS,中国平安,100,7845.0,80.1
20210408,601318.SS,中国平安,100,7863.0,80.1
20210408,000651.SZ,格力电器,100,6185.0,61.9
20210409,601318.SS,中国平安,100,7716.0,80.1
20210409,000651.SZ,格力电器,100,6165.0,61.9
20210412,601318.SS,中国平安,100,7716.0,80.1
20210412,000651.SZ,格力电器,100,6020.0,61.9
20210413,601318.SS,中国平安,100,7656.0,80.1
20210413,000651.SZ,格力电器,100,5917.0,61.9
20210414,601318.SS,中国平安,100,7715.0,80.1
20210414,000651.SZ,格力电器,100,5992.0,61.9
20210415,601318.SS,中国平安,100,7581.0,80.1
20210415,000651.SZ,格力电器,100,6053.0,61.9
20210416,601318.SS,中国平安,100,7570.0,80.1
20210416,000651.SZ,格力电器,100,6088.0,61.9
20210419,601318.SS,中国平安,100,7618.0,80.1
20210419,000651.SZ,格力电器,100,6088.0,61.9
20210420,601318.SS,中国平安,100,7600.0,80.1
20210420,000651.SZ,格力电器,100,5998.0,61.9
20210421,601318.SS,中国平安,100,7562.0,80.1
20210421,000651.SZ,格力电器,100,5962.0,61.9
20210422,601318.SS,中国平安,100,7437.0,80.1
20210422,000651.SZ,格力电器,100,5911.0,61.9
20210423,601318.SS,中国平安,100,7426.0,80.1
20210423,000651.SZ,格力电器,100,5981.0,61.9
20210426,601318.SS,中国平安,100,7289.0,80.1
20210426,000651.SZ,格力电器,100,5850.0,61.9
20210427,601318.SS,中国平安,100,7327.0,80.1
20210427,000651.SZ,格力电器,100,5798.0,61.9
20210428,601318.SS,中国平安,100,7281.0,80.1
20210428,000651.SZ,格力电器,100,5806.0,61.9
20210429,601318.SS,中国平安,100,7382.0,80.1
20210429,000651.SZ,格力电器,100,5951.0,61.9
20210430,601318.SS,中国平安,100,7250.0,80.1
20210430,000651.SZ,格力电器,100,5991.0,61.9
20210506,601318.SS,中国平安,100,7053.0,80.1
20210506,000651.SZ,格力电器,100,5996.0,61.9
20210507,000651.SZ,格力电器,100,5956.0,61.9
20210510,000651.SZ,格力电器,100,5984.0,61.9
20210511,000651.SZ,格力电器,100,5990.0,61.9
20210512,000651.SZ,格力电器,100,5908.0,61.9
20210513,000651.SZ,格力电器,100,5738.0,61.9
20210514,000651.SZ,格力电器,100,5774.0,61.9
20210517,000651.SZ,格力电器,100,5829.0,61.9
20210518,000651.SZ,格力电器,100,5793.0,61.9
20210519,000651.SZ,格力电器,100,5741.0,61.9
20210520,000651.SZ,格力电器,100,5800.0,61.9
20210521,000651.SZ,格力电器,100,5750.0,61.9
20210524,000651.SZ,格力电器,100,5680.0,61.9
20210525,000651.SZ,格力电器,100,5589.0,61.9
20210526,000651.SZ,格力电器,100,5619.0,61.9
20210527,000651.SZ,格力电器,100,5804.0,61.9
20210528,000651.SZ,格力电器,100,5699.0,61.9
20210531,000651.SZ,格力电器,100,5630.0,61.9
20210601,000651.SZ,格力电器,200,11260.0,59.13
20210602,000651.SZ,格力电器,200,11210.0,59.13
20210603,000651.SZ,格力电器,200,11196.0,59.13
20210604,000651.SZ,格力电器,200,11196.0,59.13
20210607,000651.SZ,格力电器,200,11072.0,59.13
20210608,000651.SZ,格力电器,200,11046.0,59.13
20210609,000651.SZ,格力电器,200,11046.0,59.13
20210610,000651.SZ,格力电器,200,11002.0,59.13
20210611,000651.SZ,格力电器,200,10924.0,59.13
20210615,000651.SZ,格力电器,200,11074.0,59.13
20210616,000651.SZ,格力电器,200,11036.0,59.13
20210617,000651.SZ,格力电器,200,10940.0,59.13
20210618,000651.SZ,格力电器,200,10736.0,59.13
20210621,000651.SZ,格力电器,100,5111.0,59.13
20210824,601318.SS,中国平安,100,5180.0,51.85
20210825,601318.SS,中国平安,100,5158.0,51.85
20210826,601318.SS,中国平安,100,5030.0,51.85
20210827,601318.SS,中国平安,100,5200.0,51.85
20210830,601318.SS,中国平安,100,5071.0,51.85
20210831,601318.SS,中国平安,100,4990.0,51.85
20210831,000651.SZ,格力电器,200,8220.0,41.13
20210901,000651.SZ,格力电器,200,8332.0,41.13
20210902,000651.SZ,格力电器,200,8094.0,41.13
20210903,000651.SZ,格力电器,200,8118.0,41.13
20210906,000651.SZ,格力电器,200,8278.0,41.13
20210907,000651.SZ,格力电器,200,8350.0,41.13
20210908,000651.SZ,格力电器,200,8306.0,41.13
20210909,000651.SZ,格力电器,200,8292.0,41.13
20210910,000651.SZ,格力电器,200,8248.0,41.13
20210913,000651.SZ,格力电器,200,8160.0,41.13
20210914,000651.SZ,格力电器,200,8042.0,41.13
20210915,000651.SZ,格力电器,200,7798.0,41.13
20210916,000651.SZ,格力电器,200,7642.0,41.13
20211027,601318.SS,中国平安,100,5165.0,51.7
20211028,601318.SS,中国平安,100,5130.0,51.7
20211029,601318.SS,中国平安,100,4957.0,51.7
20211101,601318.SS,中国平安,100,5012.0,51.7
20211102,601318.SS,中国平安,100,5001.0,51.7
20211103,601318.SS,中国平安,100,5005.0,51.7
20211104,601318.SS,中国平安,100,4970.0,51.7
20211105,601318.SS,中国平安,100,4993.0,51.7
20211108,601318.SS,中国平安,100,5040.0,51.7
20211109,601318.SS,中国平安,100,4969.0,51.7
20211110,601318.SS,中国平安,100,4913.0,51.7
20211111,601318.SS,中国平安,100,5115.0,51.7
20211112,601318.SS,中国平安,100,5061.0,51.7
20211115,601318.SS,中国平安,100,5060.0,51.7
20211116,601318.SS,中国平安,100,5036.0,51.7
20211117,601318.SS,中国平安,100,5005.0,51.7
20211118,601318.SS,中国平安,100,4951.0,51.7
20211119,601318.SS,中国平安,100,4996.0,51.7
20211122,601318.SS,中国平安,100,4971.0,51.7
