datetime,security,setup_completed_at,setup_is_perfect,setup_highest_high,count_1_at,count_2_at,count_3_at,count_4_at,count_5_at,count_6_at,count_7_at,count_8_at,count_8_close,count_9_at,count_10_at,count_11_at,count_12_at,count_13_at,countdown_completed_count,countdown_is_perfect,countdown_status,bought,buy_reject_reason,buy_order_id,buy_quantity,buy_price,buy_commission,buy_date,entry_value,stop_loss_price,take_profit_price,sell_order_id,sell_price,sell_commission,sell_date,sell_reason,price_pnl,dividend_income,pnl
2021-01-08 00:00:00,000651.SZ,2020-12-18 00:00:00,True,54.54,2020-12-22 00:00:00,2020-12-23 00:00:00,2020-12-25 00:00:00,,,,,,,,,,,,3,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2021-06-21 15:00:00,000651.SZ,2021-01-29 00:00:00,True,51.09,2021-01-29 00:00:00,2021-02-01 00:00:00,2021-02-22 00:00:00,2021-02-23 00:00:00,2021-02-24 00:00:00,2021-03-04 00:00:00,2021-03-05 00:00:00,2021-03-08 00:00:00,42.62,2021-03-15 00:00:00,2021-03-19 00:00:00,2021-03-22 00:00:00,2021-04-06 00:00:00,2021-04-07 00:00:00,13,False,NORMAL,True,,c8afd0651e6b44ac8c8eebfd9a6f7758,100,61.85,5.3012,2021-04-08 15:00:00,6185.0,40.3,94.175,e6115226db8a437b877f15f65260b6d4,51.11,10.3599,2021-06-21 15:00:00,STOP_LOSS,-1074.0,0.0,-1089.66
2021-06-22 15:00:00,000651.SZ,2021-04-15 00:00:00,False,49.5,2021-04-20 00:00:00,2021-04-21 00:00:00,2021-04-22 00:00:00,2021-04-26 00:00:00,2021-04-27 00:00:00,2021-04-28 00:00:00,2021-05-13 00:00:00,2021-05-14 00:00:00,43.74,2021-05-19 00:00:00,2021-05-24 00:00:00,2021-05-25 00:00:00,2021-05-26 00:00:00,2021-05-31 00:00:00,13,True,NORMAL,True,,31f2187834634da79e35bdb36194e7cb,100,56.3,5.2742,2021-06-01 15:00:00,5630.0,38.9,82.4,0fee8db95f0c48d99a42b597f43d7d78,49.82,10.2246,2021-06-22 15:00:00,STOP_LOSS,-648.0,0.0,-663.5
2021-09-17 15:00:00,000651.SZ,2021-07-13 00:00:00,False,38.5,2021-07-21 00:00:00,2021-07-22 00:00:00,2021-07-23 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,2021-07-28 00:00:00,2021-08-06 00:00:00,2021-08-12 00:00:00,32.77,2021-08-13 00:00:00,2021-08-20 00:00:00,2021-08-26 00:00:00,2021-08-27 00:00:00,2021-08-30 00:00:00,13,True,NORMAL,True,,b42401ff49f84658a0fcd74a99170a6e,200,41.1,5.4003,2021-08-31 15:00:00,8220.0,27.46,61.56,6223529606574c3191b0c46bddb4e081,38.26,13.0247,2021-09-17 15:00:00,STOP_LOSS,-568.0,0.0,-586.42
2021-09-24 00:00:00,000651.SZ,2021-09-03 00:00:00,True,34.76,2021-09-03 00:00:00,2021-09-10 00:00:00,2021-09-13 00:00:00,2021-09-14 00:00:00,2021-09-15 00:00:00,2021-09-16 00:00:00,2021-09-17 00:00:00,2021-09-22 00:00:00,26.57,,,,,,8,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2021-11-08 00:00:00,000651.SZ,2021-09-24 00:00:00,False,30.44,2021-10-13 00:00:00,2021-10-14 00:00:00,2021-10-18 00:00:00,2021-10-26 00:00:00,2021-10-27 00:00:00,2021-10-28 00:00:00,,,,,,,,,6,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2021-12-01 00:00:00,000651.SZ,2021-11-08 00:00:00,False,26.79,2021-11-09 00:00:00,2021-11-10 00:00:00,2021-11-18 00:00:00,2021-11-19 00:00:00,2021-11-26 00:00:00,2021-11-29 00:00:00,2021-11-30 00:00:00,,,,,,,,7,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2021-12-07 00:00:00,000651.SZ,2021-12-01 00:00:00,True,24.86,,,,,,,,,,,,,,,0,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2022-05-05 00:00:00,000651.SZ,2022-04-28 00:00:00,True,22.1,,,,,,,,,,,,,,,0,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2023-02-21 00:00:00,000651.SZ,2023-02-08 00:00:00,False,27.44,2023-02-16 00:00:00,2023-02-17 00:00:00,,,,,,,,,,,,,2,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
