datetime,security,setup_completed_at,setup_is_perfect,setup_highest_high,count_1_at,count_2_at,count_3_at,count_4_at,count_5_at,count_6_at,count_7_at,count_8_at,count_8_close,count_9_at,count_10_at,count_11_at,count_12_at,count_13_at,countdown_completed_count,countdown_is_perfect,countdown_status,bought,buy_reject_reason,buy_order_id,buy_quantity,buy_price,buy_commission,buy_date,entry_value,stop_loss_price,take_profit_price,sell_order_id,sell_price,sell_commission,sell_date,sell_reason,price_pnl,dividend_income,pnl
2021-08-23 00:00:00,600519.SS,2021-07-14 00:00:00,False,1880.08,2021-07-22 00:00:00,2021-07-23 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,2021-07-28 00:00:00,2021-07-30 00:00:00,2021-08-06 00:00:00,2021-08-13 00:00:00,1505.12,2021-08-17 00:00:00,2021-08-18 00:00:00,2021-08-19 00:00:00,2021-08-20 00:00:00,2021-08-23 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2022-03-03 00:00:00,600519.SS,2022-01-11 00:00:00,True,1959.33,2022-01-13 00:00:00,2022-01-14 00:00:00,2022-01-17 00:00:00,2022-01-25 00:00:00,2022-01-28 00:00:00,2022-02-07 00:00:00,2022-02-08 00:00:00,2022-02-21 00:00:00,1682.07,2022-02-22 00:00:00,2022-02-23 00:00:00,2022-02-24 00:00:00,2022-02-25 00:00:00,2022-03-03 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2022-11-28 00:00:00,600519.SS,2022-10-20 00:00:00,True,1717.76,2022-10-20 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,2022-10-25 00:00:00,2022-10-26 00:00:00,2022-10-27 00:00:00,2022-10-28 00:00:00,2022-10-31 00:00:00,1176.76,2022-11-09 00:00:00,2022-11-18 00:00:00,2022-11-21 00:00:00,2022-11-22 00:00:00,2022-11-28 00:00:00,13,False,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2023-04-10 00:00:00,600519.SS,2023-02-07 00:00:00,True,1757.67,2023-02-17 00:00:00,2023-02-23 00:00:00,2023-02-24 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,1598.67,2023-03-17 00:00:00,2023-03-20 00:00:00,2023-04-04 00:00:00,2023-04-06 00:00:00,2023-04-10 00:00:00,13,False,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2023-06-16 00:00:00,600519.SS,2023-05-18 00:00:00,True,1617.67,2023-05-18 00:00:00,2023-05-25 00:00:00,2023-05-26 00:00:00,2023-05-29 00:00:00,2023-05-30 00:00:00,2023-05-31 00:00:00,2023-06-01 00:00:00,2023-06-07 00:00:00,1499.57,,,,,,8,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2023-09-05 00:00:00,600519.SS,2023-08-22 00:00:00,True,1763.58,2023-08-22 00:00:00,2023-08-23 00:00:00,,,,,,,,,,,,,2,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2023-11-06 00:00:00,600519.SS,2023-10-18 00:00:00,True,1699.56,2023-10-19 00:00:00,2023-10-20 00:00:00,,,,,,,,,,,,,2,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2024-02-07 00:00:00,600519.SS,2024-01-16 00:00:00,True,1586.69,2024-01-17 00:00:00,2024-01-18 00:00:00,2024-01-30 00:00:00,2024-01-31 00:00:00,2024-02-02 00:00:00,,,,,,,,,,5,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2024-07-08 00:00:00,600519.SS,2024-06-03 00:00:00,True,1603.65,2024-06-03 00:00:00,2024-06-07 00:00:00,2024-06-11 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00,2024-06-17 00:00:00,2024-06-21 00:00:00,1395.56,2024-06-24 00:00:00,2024-06-28 00:00:00,2024-07-01 00:00:00,2024-07-05 00:00:00,2024-07-08 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2024-09-18 00:00:00,600519.SS,2024-08-02 00:00:00,False,1425.56,2024-08-13 00:00:00,2024-08-14 00:00:00,2024-08-21 00:00:00,2024-08-22 00:00:00,2024-08-23 00:00:00,2024-08-27 00:00:00,2024-08-28 00:00:00,2024-09-06 00:00:00,1322.56,2024-09-09 00:00:00,2024-09-10 00:00:00,2024-09-12 00:00:00,2024-09-13 00:00:00,2024-09-18 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2024-09-25 00:00:00,600519.SS,2024-09-23 00:00:00,False,1318.27,,,,,,,,,,,,,,,0,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
