datetime,event,security,trade_id,open_trade_count,buy_order_id,buy_quantity,buy_price,buy_commission,entry_value,stop_loss_price,take_profit_price,sell_order_id,sell_price,sell_commission,sell_reason,pnl,total_value,available_cash
2021-03-23 15:00:00,OPEN,601318.SS,1,1,27ca6c37c9eb4705aff19724b0246347,100,80.05,5.3898,8005.0,60.84,108.865,,,,,,,
2021-04-08 15:00:00,OPEN,000651.SZ,2,1,c8afd0651e6b44ac8c8eebfd9a6f7758,100,61.85,5.3012,6185.0,40.3,94.175,,,,,,,
2021-05-07 15:00:00,CLOSE,601318.SS,1,0,27ca6c37c9eb4705aff19724b0246347,100.0,80.05,5.3898,8005.0,60.84,108.865,e44f867905244d7da34048556f4860de,70.1,12.3514,STOP_LOSS,-901.22,998864.4775600001,992908.4775600001
2021-06-01 15:00:00,OPEN,000651.SZ,3,2,31f2187834634da79e35bdb36194e7cb,100,56.3,5.2742,5630.0,38.9,82.4,,,,,,998864.4775600001,992908.4775600001
2021-06-21 15:00:00,CLOSE,000651.SZ,2,1,c8afd0651e6b44ac8c8eebfd9a6f7758,100.0,61.85,5.3012,6185.0,40.3,94.175,e6115226db8a437b877f15f65260b6d4,51.11,10.3599,STOP_LOSS,-1089.66,997484.8434733002,992373.8434733002
2021-06-22 15:00:00,CLOSE,000651.SZ,3,0,31f2187834634da79e35bdb36194e7cb,100.0,56.3,5.2742,5630.0,38.9,82.4,0fee8db95f0c48d99a42b597f43d7d78,49.82,10.2246,STOP_LOSS,-663.5,997345.6188499002,997345.6188499002
2021-08-24 15:00:00,OPEN,601318.SS,4,1,b057e272c6c04d21a92bf8f282b0d463,100,51.8,5.2523,5180.0,39.42,70.37,,,,,,997345.6188499002,997345.6188499002
2021-08-31 15:00:00,OPEN,000651.SZ,5,1,b42401ff49f84658a0fcd74a99170a6e,200,41.1,5.4003,8220.0,27.46,61.56,,,,,,997345.6188499002,997345.6188499002
2021-09-01 15:00:00,CLOSE,601318.SS,4,0,b057e272c6c04d21a92bf8f282b0d463,100.0,51.8,5.2523,5180.0,39.42,70.37,4f8ed3b33f89405abd7b3d59d19aafc4,51.49,10.3998,STOP_LOSS,-46.65,997405.5665136002,989073.5665136002
2021-09-17 15:00:00,CLOSE,000651.SZ,5,0,b42401ff49f84658a0fcd74a99170a6e,200.0,41.1,5.4003,8220.0,27.46,61.56,6223529606574c3191b0c46bddb4e081,38.26,13.0247,STOP_LOSS,-586.42,996712.5418612001,996712.5418612001
2021-10-27 15:00:00,OPEN,601318.SS,6,1,0d146944ebbc4e8aa61ddba3b6bb66de,100,51.65,5.2515,5165.0,35.9,75.275,,,,,,996712.5418612001,996712.5418612001
2021-12-23 15:00:00,OPEN,600036.SS,7,1,8a1f514f774246da8536eb996a179a09,100,50.22,5.2446,5022.0,39.3,66.6,,,,,,996712.5418612001,996712.5418612001
2022-01-05 15:00:00,CLOSE,600036.SS,7,0,8a1f514f774246da8536eb996a179a09,100.0,50.22,5.2446,5022.0,39.3,66.6,8b7f93feb23542feaae04faf23102e28,49.05,10.1439,STOP_LOSS,-132.39,996616.9018808,991409.9018808
2022-03-10 15:00:00,CLOSE,601318.SS,6,0,0d146944ebbc4e8aa61ddba3b6bb66de,100.0,51.65,5.2515,5165.0,35.9,75.275,077469c8d7874c3d9d35c99352a22910,46.91,9.9195,STOP_LOSS,-489.17,996090.9824291,996090.9824291
2022-03-30 15:00:00,OPEN,000651.SZ,8,1,e3a37e94b2464ed4933b2879ba22c66f,300,32.07,5.4685,9621.0,18.13,52.98,,,,,,996090.9824291,996090.9824291
2022-04-21 15:00:00,OPEN,601318.SS,9,1,1121addc20ff4d64a613422a518d3c83,200,46.22,5.4502,9244.0,30.26,70.16,,,,,,996090.9824291,996090.9824291
2022-04-21 15:00:00,OPEN,600036.SS,10,1,786e55861c5441b1b84aae9ecd283444,200,41.28,5.4021,8256.0,28.51,60.435,,,,,,996090.9824291,996090.9824291
2022-05-10 15:00:00,CLOSE,600036.SS,10,0,786e55861c5441b1b84aae9ecd283444,200.0,41.28,5.4021,8256.0,28.51,60.435,561b7fdedd494cf2a892bec2bcb7bcfc,36.98,12.7562,STOP_LOSS,-878.16,995520.5454512,976561.5454512
2022-07-08 15:00:00,OPEN,600036.SS,11,1,ca828b7ed53f42e880ded54cf1c331d3,200,39.81,5.3877,7962.0,25.12,61.845,,,,,,995520.5454512,976561.5454512
2022-08-11 15:00:00,OPEN,601318.SS,12,2,b59da9b363104569acc18e19133acbfa,200,41.46,5.4038,8292.0,31.38,56.58,,,,,,995520.5454512,976561.5454512
2022-08-24 15:00:00,OPEN,600036.SS,13,2,3865bfdaa936451e92c1c08144b75309,300,32.84,5.4798,9852.0,24.69,45.065,,,,,,995520.5454512,976561.5454512
2022-10-11 15:00:00,CLOSE,600036.SS,11,1,ca828b7ed53f42e880ded54cf1c331d3,200.0,39.81,5.3877,7962.0,25.12,61.845,1e189e435d4f4f6f9eeef5a14a3b6993,31.4,11.5858,STOP_LOSS,-1455.45,993127.7694989999,967065.7694989999
2022-10-11 15:00:00,CLOSE,600036.SS,13,0,3865bfdaa936451e92c1c08144b75309,300.0,32.84,5.4798,9852.0,24.69,45.065,6eee55ccb7934beeb33f92c07cabb1c9,31.4,14.8788,STOP_LOSS,-452.36,993127.7694989999,967065.7694989999
2022-10-25 15:00:00,CLOSE,601318.SS,9,1,1121addc20ff4d64a613422a518d3c83,200.0,46.22,5.4502,9244.0,30.26,70.16,7522ee0e99cc4c6ab7185be279b5eead,37.72,12.9114,STOP_LOSS,-1335.96,991357.5467133998,982417.5467133998
2022-10-25 15:00:00,CLOSE,601318.SS,12,0,b59da9b363104569acc18e19133acbfa,200.0,41.46,5.4038,8292.0,31.38,56.58,8eabe041fe904a6084ed142f76dca2e7,37.72,12.9114,STOP_LOSS,-621.52,991357.5467133998,982417.5467133998
2022-11-01 15:00:00,OPEN,600036.SS,14,1,37827918514c42dcbf33727efbf789f0,300,28.19,5.4119,8457.0,18.75,42.35,,,,,,991357.5467133998,982417.5467133998
2022-11-22 15:00:00,OPEN,000651.SZ,15,2,0cb32b5e31e848e0afe2172b8bebd600,300,31.29,5.4571,9387.0,18.73,50.13,,,,,,991357.5467133998,982417.5467133998
2023-03-15 15:00:00,OPEN,600036.SS,16,2,3b9d483a272e46aab935999065f22792,200,34.88,5.3397,6976.0,27.03,46.655,,,,,,991357.5467133998,982417.5467133998
2023-03-31 15:00:00,CLOSE,600036.SS,16,1,3b9d483a272e46aab935999065f22792,200.0,34.88,5.3397,6976.0,27.03,46.655,de9d00fac9a84b08875e35cca600731a,34.27,12.1878,STOP_LOSS,-139.53,997232.2301895998,964901.2301895998
2023-04-18 15:00:00,CLOSE,000651.SZ,8,1,e3a37e94b2464ed4933b2879ba22c66f,300.0,32.07,5.4685,9621.0,18.13,52.98,4292d4762eab43f68074445bcb7d81b8,40.58,17.7669,TREND_REVERSAL,3465.28,999917.6964419999,989213.6964419999
2023-04-18 15:00:00,CLOSE,000651.SZ,15,0,0cb32b5e31e848e0afe2172b8bebd600,300.0,31.29,5.4571,9387.0,18.73,50.13,acd4f56023f448d08215d344ab8a2e3e,40.58,17.7669,TREND_REVERSAL,3002.82,999917.6964419999,989213.6964419999
2023-05-12 15:00:00,OPEN,600036.SS,17,2,5ca26417777b467db0e63f9776815891,200,34.04,5.3315,6808.0,24.57,48.245,,,,,,999917.6964419999,989213.6964419999
2023-07-24 15:00:00,OPEN,601318.SS,18,1,484682bb6e644b4b97cb8a5530ba1b64,200,46.62,5.4541,9324.0,38.85,58.275,,,,,,999917.6964419999,989213.6964419999
2023-10-17 15:00:00,OPEN,600036.SS,19,3,5f6adefb622d450b948b11dc82a17b6e,300,32.52,5.4751,9756.0,25.28,43.38,,,,,,999917.6964419999,989213.6964419999
2023-11-10 15:00:00,CLOSE,601318.SS,18,0,484682bb6e644b4b97cb8a5530ba1b64,200.0,46.62,5.4541,9324.0,38.85,58.275,ec82f40fe7e348f594748cb8ee271c5b,42.35,13.8825,STOP_LOSS,-725.98,996736.1132073997,972608.1132073997
