ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2021-03-23,15:00:00,601318.SS,Âò,-,100.000,80.050,5.390
2021-04-08,15:00:00,000651.SZ,Âò,-,100.000,61.850,5.301
2021-05-07,15:00:00,601318.SS,Âô,-,100.000,70.100,12.351
2021-06-01,15:00:00,000651.SZ,Âò,-,100.000,56.300,5.274
2021-06-21,15:00:00,000651.SZ,Âô,-,100.000,51.110,10.360
2021-06-22,15:00:00,000651.SZ,Âô,-,100.000,49.820,10.225
2021-08-24,15:00:00,601318.SS,Âò,-,100.000,51.800,5.252
2021-08-31,15:00:00,000651.SZ,Âò,-,200.000,41.100,5.400
2021-09-01,15:00:00,601318.SS,Âô,-,100.000,51.490,10.400
2021-09-17,15:00:00,000651.SZ,Âô,-,200.000,38.260,13.025
2021-10-27,15:00:00,601318.SS,Âò,-,100.000,51.650,5.252
2021-12-23,15:00:00,600036.SS,Âò,-,100.000,50.220,5.245
2022-01-05,15:00:00,600036.SS,Âô,-,100.000,49.050,10.144
2022-03-10,15:00:00,601318.SS,Âô,-,100.000,46.910,9.919
2022-03-30,15:00:00,000651.SZ,Âò,-,300.000,32.070,5.469
2022-04-21,15:00:00,601318.SS,Âò,-,200.000,46.220,5.450
2022-04-21,15:00:00,600036.SS,Âò,-,200.000,41.280,5.402
2022-05-10,15:00:00,600036.SS,Âô,-,200.000,36.980,12.756
2022-07-08,15:00:00,600036.SS,Âò,-,200.000,39.810,5.388
2022-08-11,15:00:00,601318.SS,Âò,-,200.000,41.460,5.404
2022-08-24,15:00:00,600036.SS,Âò,-,300.000,32.840,5.480
2022-10-11,15:00:00,600036.SS,Âô,-,200.000,31.400,11.586
2022-10-11,15:00:00,600036.SS,Âô,-,300.000,31.400,14.879
2022-10-25,15:00:00,601318.SS,Âô,-,200.000,37.720,12.911
2022-10-25,15:00:00,601318.SS,Âô,-,200.000,37.720,12.911
2022-11-01,15:00:00,600036.SS,Âò,-,300.000,28.190,5.412
2022-11-22,15:00:00,000651.SZ,Âò,-,300.000,31.290,5.457
2023-03-15,15:00:00,600036.SS,Âò,-,200.000,34.880,5.340
2023-03-31,15:00:00,600036.SS,Âô,-,200.000,34.270,12.188
2023-04-18,15:00:00,000651.SZ,Âô,-,300.000,40.580,17.767
2023-04-18,15:00:00,000651.SZ,Âô,-,300.000,40.580,17.767
2023-05-12,15:00:00,600036.SS,Âò,-,200.000,34.040,5.332
2023-07-24,15:00:00,601318.SS,Âò,-,200.000,46.620,5.454
2023-10-17,15:00:00,600036.SS,Âò,-,300.000,32.520,5.475
2023-11-10,15:00:00,601318.SS,Âô,-,200.000,42.350,13.882
2023-11-13,15:00:00,600036.SS,Âô,-,300.000,29.820,14.382
2023-11-28,15:00:00,600036.SS,Âô,-,200.000,29.160,11.116
2023-12-07,15:00:00,600036.SS,Âô,-,300.000,27.810,13.749
2024-07-26,15:00:00,601318.SS,Âò,-,200.000,41.090,5.400
2024-08-08,15:00:00,000651.SZ,Âò,-,200.000,40.480,5.394
2024-10-08,15:00:00,601318.SS,Âô,-,200.000,61.730,17.947
2025-04-22,15:00:00,000651.SZ,Âô,-,200.000,45.550,14.554
2025-10-10,15:00:00,600036.SS,Âò,-,200.000,40.180,5.391
2025-12-22,15:00:00,600036.SS,Âô,-,200.000,41.770,13.761
2025-12-31,15:00:00,000651.SZ,Âò,-,200.000,40.220,5.392
