日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2021-03-23,15:30:00,601318.SS,80.050,100,多,80.104,8005.000,-5.390
2021-03-24,15:30:00,601318.SS,79.010,100,多,80.104,7901.000,-109.390
2021-03-25,15:30:00,601318.SS,79.200,100,多,80.104,7920.000,-90.390
2021-03-26,15:30:00,601318.SS,80.010,100,多,80.104,8001.000,-9.390
2021-03-29,15:30:00,601318.SS,79.130,100,多,80.104,7913.000,-97.390
2021-03-30,15:30:00,601318.SS,79.370,100,多,80.104,7937.000,-73.390
2021-03-31,15:30:00,601318.SS,78.700,100,多,80.104,7870.000,-140.390
2021-04-01,15:30:00,601318.SS,79.200,100,多,80.104,7920.000,-90.390
2021-04-02,15:30:00,601318.SS,78.880,100,多,80.104,7888.000,-122.390
2021-04-06,15:30:00,601318.SS,79.030,100,多,80.104,7903.000,-107.390
2021-04-07,15:30:00,601318.SS,78.450,100,多,80.104,7845.000,-165.390
2021-04-08,15:30:00,601318.SS,78.630,100,多,80.104,7863.000,-147.390
2021-04-08,15:30:00,000651.SZ,61.850,100,多,61.903,6185.000,-5.300
2021-04-09,15:30:00,601318.SS,77.160,100,多,80.104,7716.000,-294.390
2021-04-09,15:30:00,000651.SZ,61.650,100,多,61.903,6165.000,-25.300
2021-04-12,15:30:00,601318.SS,77.160,100,多,80.104,7716.000,-294.390
2021-04-12,15:30:00,000651.SZ,60.200,100,多,61.903,6020.000,-170.300
2021-04-13,15:30:00,601318.SS,76.560,100,多,80.104,7656.000,-354.390
2021-04-13,15:30:00,000651.SZ,59.170,100,多,61.903,5917.000,-273.300
2021-04-14,15:30:00,601318.SS,77.150,100,多,80.104,7715.000,-295.390
2021-04-14,15:30:00,000651.SZ,59.920,100,多,61.903,5992.000,-198.300
2021-04-15,15:30:00,601318.SS,75.810,100,多,80.104,7581.000,-429.390
2021-04-15,15:30:00,000651.SZ,60.530,100,多,61.903,6053.000,-137.300
2021-04-16,15:30:00,601318.SS,75.700,100,多,80.104,7570.000,-440.390
2021-04-16,15:30:00,000651.SZ,60.880,100,多,61.903,6088.000,-102.300
2021-04-19,15:30:00,601318.SS,76.180,100,多,80.104,7618.000,-392.390
2021-04-19,15:30:00,000651.SZ,60.880,100,多,61.903,6088.000,-102.300
2021-04-20,15:30:00,601318.SS,76.000,100,多,80.104,7600.000,-410.390
2021-04-20,15:30:00,000651.SZ,59.980,100,多,61.903,5998.000,-192.300
2021-04-21,15:30:00,601318.SS,75.620,100,多,80.104,7562.000,-448.390
2021-04-21,15:30:00,000651.SZ,59.620,100,多,61.903,5962.000,-228.300
2021-04-22,15:30:00,601318.SS,74.370,100,多,78.989,7437.000,-461.870
2021-04-22,15:30:00,000651.SZ,59.110,100,多,61.903,5911.000,-279.300
2021-04-23,15:30:00,601318.SS,74.260,100,多,78.989,7426.000,-472.870
2021-04-23,15:30:00,000651.SZ,59.810,100,多,61.903,5981.000,-209.300
2021-04-26,15:30:00,601318.SS,72.890,100,多,78.989,7289.000,-609.870
2021-04-26,15:30:00,000651.SZ,58.500,100,多,61.903,5850.000,-340.300
2021-04-27,15:30:00,601318.SS,73.270,100,多,78.989,7327.000,-571.870
2021-04-27,15:30:00,000651.SZ,57.980,100,多,61.903,5798.000,-392.300
2021-04-28,15:30:00,601318.SS,72.810,100,多,78.989,7281.000,-617.870
2021-04-28,15:30:00,000651.SZ,58.060,100,多,61.903,5806.000,-384.300
2021-04-29,15:30:00,601318.SS,73.820,100,多,78.989,7382.000,-516.870
2021-04-29,15:30:00,000651.SZ,59.510,100,多,61.903,5951.000,-239.300
