event_id,event_datetime,security,type,direction,window,matured_datetime,base_close,end_close,directional_return,mfe,mae
600519SS_2025-01-10T000000_BUY_SETUP_1_2025-01-10T000000_9,2025-01-10 00:00:00,600519.SS,BUY_SETUP,1,5,2025-01-17 00:00:00,1384.44,1403.19,0.01354338,0.03370316,-0.01010517
600519SS_2025-01-10T000000_BUY_COUNTDOWN_CANCEL_1_2024-11-25T000000_10,2025-01-10 00:00:00,600519.SS,BUY_COUNTDOWN_CANCEL,1,5,2025-01-17 00:00:00,1384.44,1403.19,0.01354338,0.03370316,-0.01010517
000858SZ_2025-01-10T000000_BUY_SETUP_1_2025-01-10T000000_9,2025-01-10 00:00:00,000858.SZ,BUY_SETUP,1,5,2025-01-17 00:00:00,120.27,123.97,0.03076411,0.04739336,-0.01363599
000858SZ_2025-01-10T000000_BUY_COUNTDOWN_CANCEL_1_2024-12-26T000000_8,2025-01-10 00:00:00,000858.SZ,BUY_COUNTDOWN_CANCEL,1,5,2025-01-17 00:00:00,120.27,123.97,0.03076411,0.04739336,-0.01363599
601318SS_2025-01-13T000000_BUY_SETUP_PERFECT_1_2025-01-13T000000_9,2025-01-13 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,5,2025-01-20 00:00:00,46.04,47.26,0.0264987,0.03714162,-0.00195482
600036SS_2025-01-27T000000_SELL_COUNTDOWN_COMPLETE_PERFECT_-1_2024-12-10T000000_13,2025-01-27 00:00:00,600036.SS,SELL_COUNTDOWN_COMPLETE_PERFECT,-1,5,2025-02-11 00:00:00,37.64,37.97,-0.00876727,0.02444208,-0.01036132
600519SS_2025-01-10T000000_BUY_SETUP_1_2025-01-10T000000_9,2025-01-10 00:00:00,600519.SS,BUY_SETUP,1,20,2025-02-17 00:00:00,1384.44,1420.06,0.02572881,0.04260206,-0.02599607
600519SS_2025-01-10T000000_BUY_COUNTDOWN_CANCEL_1_2024-11-25T000000_10,2025-01-10 00:00:00,600519.SS,BUY_COUNTDOWN_CANCEL,1,20,2025-02-17 00:00:00,1384.44,1420.06,0.02572881,0.04260206,-0.02599607
000858SZ_2025-01-10T000000_BUY_SETUP_1_2025-01-10T000000_9,2025-01-10 00:00:00,000858.SZ,BUY_SETUP,1,20,2025-02-17 00:00:00,120.27,125.8,0.04597988,0.06244284,-0.01363599
000858SZ_2025-01-10T000000_BUY_COUNTDOWN_CANCEL_1_2024-12-26T000000_8,2025-01-10 00:00:00,000858.SZ,BUY_COUNTDOWN_CANCEL,1,20,2025-02-17 00:00:00,120.27,125.8,0.04597988,0.06244284,-0.01363599
601318SS_2025-01-13T000000_BUY_SETUP_PERFECT_1_2025-01-13T000000_9,2025-01-13 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,20,2025-02-18 00:00:00,46.04,48.76,0.05907906,0.08231972,-0.00195482
601318SS_2025-02-19T000000_SELL_SETUP_-1_2025-02-19T000000_9,2025-02-19 00:00:00,601318.SS,SELL_SETUP,-1,5,2025-02-26 00:00:00,48.9,49.07,-0.00347648,0.0202454,-0.02106339
601318SS_2025-02-19T000000_BUY_COUNTDOWN_CANCEL_1_2025-01-13T000000_4,2025-02-19 00:00:00,601318.SS,BUY_COUNTDOWN_CANCEL,1,5,2025-02-26 00:00:00,48.9,49.07,0.00347648,0.02106339,-0.0202454
600036SS_2025-01-27T000000_SELL_COUNTDOWN_COMPLETE_PERFECT_-1_2024-12-10T000000_13,2025-01-27 00:00:00,600036.SS,SELL_COUNTDOWN_COMPLETE_PERFECT,-1,20,2025-03-04 00:00:00,37.64,38.79,-0.0305526,0.02444208,-0.05340064
600519SS_2025-03-11T000000_BUY_COUNTDOWN_CANCEL_1_2025-01-10T000000_11,2025-03-11 00:00:00,600519.SS,BUY_COUNTDOWN_CANCEL,1,5,2025-03-18 00:00:00,1497.12,1572.44,0.05030993,0.07301352,-0.0149153
600036SS_2025-03-11T000000_SELL_SETUP_-1_2025-03-11T000000_9,2025-03-11 00:00:00,600036.SS,SELL_SETUP,-1,5,2025-03-18 00:00:00,40.5,42.13,-0.04024691,0.00641975,-0.0491358
601318SS_2025-02-19T000000_SELL_SETUP_-1_2025-02-19T000000_9,2025-02-19 00:00:00,601318.SS,SELL_SETUP,-1,20,2025-03-19 00:00:00,48.9,51.52,-0.05357873,0.02965235,-0.05828221
601318SS_2025-02-19T000000_BUY_COUNTDOWN_CANCEL_1_2025-01-13T000000_4,2025-02-19 00:00:00,601318.SS,BUY_COUNTDOWN_CANCEL,1,20,2025-03-19 00:00:00,48.9,51.52,0.05357873,0.05828221,-0.02965235
000651SZ_2025-03-13T000000_SELL_SETUP_PERFECT_-1_2025-03-13T000000_9,2025-03-13 00:00:00,000651.SZ,SELL_SETUP_PERFECT,-1,5,2025-03-20 00:00:00,38.54,38.72,-0.00467047,-0.00025947,-0.04229372
600519SS_2025-03-18T000000_SELL_SETUP_PERFECT_-1_2025-03-18T000000_9,2025-03-18 00:00:00,600519.SS,SELL_SETUP_PERFECT,-1,5,2025-03-25 00:00:00,1572.44,1523.94,0.03084378,0.0391875,-0.0152629
000858SZ_2025-03-24T000000_BUY_COUNTDOWN_COMPLETE_1_2025-01-10T000000_13,2025-03-24 00:00:00,000858.SZ,BUY_COUNTDOWN_COMPLETE,1,5,2025-03-31 00:00:00,128.56,125.6,-0.02302427,0.0035781,-0.02302427
