event_id,datetime,security,frequency,category,type,direction,count,perfect,reason,setup_type,setup_perfect,setup_first_dt,setup_last_dt,setup_highest_high,tdst_threshold,countdown_start_dt,count_1_dt,count_2_dt,count_3_dt,count_4_dt,count_5_dt,count_6_dt,count_7_dt,count_8_dt,countdown_8_close,count_9_dt,count_10_dt,count_11_dt,count_12_dt,count_13_dt,countdown_low_dt,countdown_low,countdown_low_bar_high,bar_close,bar_high,bar_low,pre20_avg_amount,pre20_volatility,pre20_return
000858SZ_2024-12-30T000000_BUY_COUNTDOWN_PROGRESS_1_2024-12-26T000000_2,2024-12-30 00:00:00,000858.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,2,,,BUY_SETUP,False,2024-12-16 00:00:00,2024-12-26 00:00:00,139.72,139.72,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-30 00:00:00,,,,,,,,,,,,,2024-12-30 00:00:00,132.68,134.85,132.89,134.85,132.68,2621321235.0,0.011961,-0.041682
600036SS_2024-12-30T000000_SELL_COUNTDOWN_PROGRESS_-1_2024-12-10T000000_7,2024-12-30 00:00:00,600036.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,7,,,SELL_SETUP,True,2024-11-28 00:00:00,2024-12-10 00:00:00,35.98,33.17,2024-12-10 00:00:00,2024-12-10 00:00:00,2024-12-11 00:00:00,2024-12-18 00:00:00,2024-12-24 00:00:00,2024-12-25 00:00:00,2024-12-26 00:00:00,2024-12-30 00:00:00,,,,,,,,2024-12-18 00:00:00,34.85,35.65,36.61,36.79,36.24,2738764915.0,0.015686,0.073292
000858SZ_2024-12-31T000000_BUY_COUNTDOWN_PROGRESS_1_2024-12-26T000000_3,2024-12-31 00:00:00,000858.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,3,,,BUY_SETUP,False,2024-12-16 00:00:00,2024-12-26 00:00:00,139.72,139.72,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,,,,,,,,,,,,2024-12-31 00:00:00,131.69,135.28,131.72,135.28,131.69,2691969980.0,0.011953,-0.041409
600519SS_2025-01-02T000000_BUY_COUNTDOWN_PROGRESS_1_2024-11-25T000000_7,2025-01-02 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,7,,,BUY_SETUP,True,2024-11-13 00:00:00,2024-11-25 00:00:00,1519.01,1519.01,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-12-05 00:00:00,2024-12-13 00:00:00,2024-12-16 00:00:00,2024-12-20 00:00:00,2024-12-23 00:00:00,2025-01-02 00:00:00,,,,,,,,2024-11-25 00:00:00,1421.23,1456.56,1436.44,1472.93,1428.44,4951468310.0,0.013336,0.000613
000858SZ_2025-01-02T000000_BUY_COUNTDOWN_PROGRESS_1_2024-12-26T000000_4,2025-01-02 00:00:00,000858.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,4,,,BUY_SETUP,False,2024-12-16 00:00:00,2024-12-26 00:00:00,139.72,139.72,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,2025-01-02 00:00:00,,,,,,,,,,,2025-01-02 00:00:00,127.98,131.68,128.67,131.68,127.98,2759764380.0,0.012835,-0.058811
600519SS_2025-01-03T000000_BUY_COUNTDOWN_PROGRESS_1_2024-11-25T000000_8,2025-01-03 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,8,,,BUY_SETUP,True,2024-11-13 00:00:00,2024-11-25 00:00:00,1519.01,1519.01,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-12-05 00:00:00,2024-12-13 00:00:00,2024-12-16 00:00:00,2024-12-20 00:00:00,2024-12-23 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,1423.44,,,,,,2025-01-03 00:00:00,1415.45,1443.43,1423.44,1443.43,1415.45,5071232905.0,0.013382,-0.015309
000858SZ_2025-01-03T000000_BUY_COUNTDOWN_PROGRESS_1_2024-12-26T000000_5,2025-01-03 00:00:00,000858.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,5,,,BUY_SETUP,False,2024-12-16 00:00:00,2024-12-26 00:00:00,139.72,139.72,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,,,,,,,,,,2025-01-03 00:00:00,126.43,129.64,127.08,129.64,126.43,2799717345.0,0.012584,-0.07993
600519SS_2025-01-06T000000_BUY_COUNTDOWN_PROGRESS_1_2024-11-25T000000_9,2025-01-06 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,9,,,BUY_SETUP,True,2024-11-13 00:00:00,2024-11-25 00:00:00,1519.01,1519.01,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-12-05 00:00:00,2024-12-13 00:00:00,2024-12-16 00:00:00,2024-12-20 00:00:00,2024-12-23 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,1423.44,2025-01-06 00:00:00,,,,,2025-01-06 00:00:00,1381.24,1411.1,1388.44,1411.1,1381.24,5146699460.0,0.014407,-0.03805
000858SZ_2025-01-06T000000_BUY_COUNTDOWN_PROGRESS_1_2024-12-26T000000_6,2025-01-06 00:00:00,000858.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,6,,,BUY_SETUP,False,2024-12-16 00:00:00,2024-12-26 00:00:00,139.72,139.72,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-06 00:00:00,,,,,,,,,2025-01-06 00:00:00,122.06,125.64,122.51,125.64,122.06,2846419080.0,0.014437,-0.108629
600519SS_2025-01-07T000000_BUY_COUNTDOWN_PROGRESS_1_2024-11-25T000000_10,2025-01-07 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,10,,,BUY_SETUP,True,2024-11-13 00:00:00,2024-11-25 00:00:00,1519.01,1519.01,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-12-05 00:00:00,2024-12-13 00:00:00,2024-12-16 00:00:00,2024-12-20 00:00:00,2024-12-23 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,1423.44,2025-01-06 00:00:00,2025-01-07 00:00:00,,,,2025-01-06 00:00:00,1381.24,1411.1,1388.64,1400.33,1387.44,5171022490.0,0.013533,-0.056085
